United Arab Emirates,Switzerland,China,United Kingdom,Lebanon,Saudi Arabia,Year
3.6725,0.916151047,6.143434094,0.607729627,1507.5,3.75,2014
3.6725,0.962381328,6.227488673,0.654545479,1507.5,3.75,2015
3.6725,0.985394394,6.644477829,0.740634464,1507.5,3.75,2016
3.6725,0.984691667,6.758755086,0.776976682,1507.5,3.75,2017
3.6725,0.977891667,6.615957177,0.74953154,1507.5,3.75,2018
3.6725,0.993709167,6.90838501,0.78344511,1507.5,3.75,2019
3.6725,0.938965,6.900767269,0.779999577,1507.5,3.75,2020
3.6725,0.913845833,6.44897518,0.727064945,1507.5,3.75,2021
3.6725,0.9548325,6.737158112,0.811301716,1507.5,3.75,2022
3.6725,0.89849,7.083998423,0.804538907,13875.625,3.75,2023
3.6725,0.880440833,7.197491108,0.782414581,89500,3.75,2024
