Year,United Arab Emirates,Switzerland,China,United Kingdom,Lebanon,United States
2014,2.346268657,-0.013202539,1.921641628,1.451120163,1.854604213,1.622222977
2015,4.069966084,-1.143908672,1.437023809,0.368046842,-3.749145248,0.118627136
2016,1.617488089,-0.434618664,2.000001822,1.008417368,-0.783359624,1.261583206
2017,1.966825578,0.53378784,1.593136001,2.557755776,4.321352183,2.130110004
2018,3.068633793,0.936335464,2.0747904,2.292839903,6.076989079,2.442583297
2019,-1.931081148,0.36288618,2.899234164,1.738104601,3.005389494,1.812210075
2020,-2.079403179,-0.725874933,2.419421895,0.989486704,84.86433305,1.233584396
2021,0.179935336,0.581814168,0.981015136,2.518371096,154.756096,4.697858864
2022,5.291226044,2.835027986,1.973575557,7.922048831,171.2054913,8.002799821
2023,1.626708372,2.13540088,0.234836829,6.793967068,221.341644,4.116338384
2024,1.663365102,1.06234042,0.218128938,3.271572946,45.24304227,2.949525205
