United Arab Emirates,Switzerland,China,France,United Kingdom,Saudi Arabia,United States,Year
1.88,4.826,4.1,10.273,6.398,5.877,6.168,2014
2.01,4.801,4.12,10.354,5.552,5.6,5.28,2015
1.64,4.918,4.07,10.057,4.909,5.6,4.869,2016
2.462,4.797,3.9,9.409,4.501,5.89,4.355,2017
2.236,4.713,4.93,9.018,4.145,6.029,3.896,2018
2.331,4.394,5.15,8.415,3.657,5.636,3.669,2019
4.294,4.817,5.61,8.009,4.518,7.66,8.055,2020
3.105,5.013,5.11,7.871,4.864,6.621,5.349,2021
2.872,4.122,5.1,7.303,3.768,5.589,3.65,2022
2.151,4.043,5.07,7.335,4.025,4.008,3.638,2023
1.88,4.343,5.13,7.388,4.361,3.518,4.022,2024
