Date,Event,Description
2015-09,Ethereum Genesis Block,"The Ethereum network went live, introducing smart contracts and decentralized applications (dApps), fundamentally changing the crypto landscape and challenging Bitcoin's dominance."
2016-07,Bitcoin Halving (2nd),"Bitcoin's block reward was reduced from 25 BTC to 12.5 BTC, a scheduled supply shock event historically preceding major bull runs."
2016-10,The DAO Hack & ETH Hard Fork,"A major exploit on a flagship Ethereum project led to the community controversially rolling back the blockchain, resulting in the split into Ethereum (ETH) and Ethereum Classic (ETC)."
2017-12,CME Launches BTC Futures,"The Chicago Mercantile Exchange (CME) launched cash-settled Bitcoin futures, providing the first major regulated avenue for institutional investors to bet on Bitcoin's price."
2018-08,Start of Crypto Winter,"Following the 2017 parabolic run, the market crashed due to regulatory fears, the exhaustion of the Initial Coin Offering (ICO) bubble, and massive retail sell-offs."
2020-03,COVID-19 Crash,"Amid global panic over the pandemic, Bitcoin and the broader crypto market crashed alongside traditional assets, highlighting short-term correlation with macro fear."
2020-10,Bitcoin Halving (3rd),"Bitcoin's block reward was reduced from 12.5 BTC to 6.25 BTC, setting the stage for the massive supply-driven bull run in 2021."
2021-05,China Bans Crypto Mining,"A massive regulatory crackdown in China forced most Bitcoin mining operations to relocate, temporarily disrupting the network and causing a sharp market correction."
2021-11,BTC & ETH All-Time Highs,"Fueled by institutional adoption, DeFi growth, and the NFT boom, Bitcoin reached $\sim\$69,000$ and Ethereum reached $\sim\$4,800$, marking the cycle's peak."
2022-05,Terra (LUNA) Ecosystem Collapse,The $40 billion failure of the Terra ecosystem's algorithmic stablecoin (UST) and native token (LUNA) triggered a loss of confidence and massive deleveraging across the market.
2022-11,FTX Exchange Collapse,"FTX, a major global centralized exchange, filed for bankruptcy after revelations of fraud and misuse of customer funds, leading to the low point of the bear market."
2024-01,US SEC Approves Spot BTC ETFs,"The U.S. Securities and Exchange Commission approved the first spot Bitcoin ETFs, opening up regulated access for billions in new capital from traditional finance."
2024-04,Bitcoin Halving (4th),"The latest halving event further reduced the new supply of Bitcoin, potentially impacting future supply/demand dynamics."
2024-11,US SEC Approves Spot ETH ETFs,"The SEC granted key approvals for spot Ethereum ETFs, signaling a path for institutional access to Ethereum and treating it similarly to Bitcoin."
2017-07,ICO boom,
